events,numbers,stations,serviceCustomer,times
Creation,170,Service Customers Source,1,9003.0
Production started,170,Service Desk,1,9037.85414337874
Production complete,170,Service Desk,1,9318.40577188982
Creation,171,Regular Customers Source,0,8850.0
Production started,171,Cash 1,0,9219.443965764587
Production complete,171,Cash 1,0,9321.989804496105
Creation,172,Regular Customers Source,0,8791.0
Production started,172,Cash 2,0,9258.23890036013
Production complete,172,Cash 2,0,9408.969248934067
Creation,173,Regular Customers Source,0,8990.0
Production started,173,Cash 1,0,9321.989804496105
Production complete,173,Cash 1,0,9484.179169626585
Creation,174,Service Customers Source,1,9309.0
Production started,174,Service Desk,1,9318.40577188982
Production complete,174,Service Desk,1,9521.59918570695
Creation,175,Regular Customers Source,0,6873.0
Production started,175,Service Desk,0,9521.59918570695
Production complete,175,Service Desk,0,9534.531199692035
Creation,176,Regular Customers Source,0,9038.0
Production started,176,Cash 1,0,9484.179169626585
Production complete,176,Cash 1,0,9560.925347836988
Creation,177,Regular Customers Source,0,8915.0
Production started,177,Cash 2,0,9408.969248934067
Production complete,177,Cash 2,0,9577.361026886541
Creation,178,Regular Customers Source,0,7472.0
Production started,178,Service Desk,0,9534.531199692035
Production complete,178,Service Desk,0,9651.796661957978
Creation,179,Regular Customers Source,0,9160.0
Production started,179,Cash 2,0,9577.361026886541
Production complete,179,Cash 2,0,9724.893525403117
Creation,180,Regular Customers Source,0,9100.0
Production started,180,Cash 1,0,9560.925347836988
Production complete,180,Cash 1,0,9771.05011782426
Creation,181,Regular Customers Source,0,9282.0
Production started,181,Cash 1,0,9771.05011782426
Production complete,181,Cash 1,0,9846.337884715225
Creation,182,Regular Customers Source,0,9219.0
Production started,182,Cash 2,0,9724.893525403117
Production complete,182,Cash 2,0,9900.299367208707
Creation,183,Regular Customers Source,0,9393.0
Production started,183,Cash 2,0,9900.299367208707
Production complete,183,Cash 2,0,9958.984780698142
Creation,184,Service Customers Source,1,9602.0
Production started,184,Service Desk,1,9651.796661957978
Production complete,184,Service Desk,1,9959.338624627675
Creation,185,Regular Customers Source,0,9337.0
Production started,185,Cash 1,0,9846.337884715225
Production complete,185,Cash 1,0,9972.233558380289
Creation,186,Regular Customers Source,0,9513.0
Production started,186,Cash 1,0,9972.233558380289
Production complete,186,Cash 1,0,10045.270936323586
Creation,187,Service Customers Source,1,9917.0
Production started,187,Service Desk,1,9959.338624627675
Production complete,187,Service Desk,1,10054.987055477395
Creation,188,Regular Customers Source,0,8342.0
Production started,188,Service Desk,0,10054.987055477395
Production complete,188,Service Desk,0,10214.287319746834
Creation,189,Regular Customers Source,0,9642.0
Production started,189,Cash 1,0,10045.270936323586
Production complete,189,Cash 1,0,10235.648946371324
Creation,190,Regular Customers Source,0,9444.0
Production started,190,Cash 2,0,9958.984780698142
Production complete,190,Cash 2,0,10270.822730965116
Creation,191,Regular Customers Source,0,9572.0
Production started,191,Service Desk,0,10214.287319746834
Production complete,191,Service Desk,0,10327.917961669065
Creation,192,Regular Customers Source,0,9755.0
Production started,192,Cash 2,0,10270.822730965116
Production complete,192,Cash 2,0,10444.06535835408
Creation,193,Regular Customers Source,0,9802.0
Production started,193,Cash 1,0,10235.648946371324
Production complete,193,Cash 1,0,10515.702657454607
Creation,194,Regular Customers Source,0,9946.0
Production started,194,Cash 2,0,10444.06535835408
Production complete,194,Cash 2,0,10527.457218434203
Creation,195,Regular Customers Source,0,10000.0
Production started,195,Cash 2,0,10527.457218434203
Production complete,195,Cash 2,0,10655.587826339888
Creation,196,Regular Customers Source,0,9875.0
Production started,196,Cash 1,0,10515.702657454607
Production complete,196,Cash 1,0,10661.341718118658
Creation,197,Service Customers Source,1,10223.0
Production started,197,Service Desk,1,10327.917961669065
Production complete,197,Service Desk,1,10699.22280656904
Creation,198,Regular Customers Source,0,10057.0
Production started,198,Cash 1,0,10661.341718118658
Production complete,198,Cash 1,0,10813.116065544487
Creation,199,Regular Customers Source,0,10171.0
Production started,199,Cash 1,0,10813.116065544487
Production complete,199,Cash 1,0,10816.452492192464
Creation,200,Regular Customers Source,0,10227.0
Production started,200,Cash 2,0,10655.587826339888
Production complete,200,Cash 2,0,10826.734531418855
Creation,201,Regular Customers Source,0,10382.0
Production started,201,Cash 2,0,10826.734531418855
Production complete,201,Cash 2,0,10921.414369572787
Creation,202,Service Customers Source,1,10571.0
Production started,202,Service Desk,1,10699.22280656904
Production complete,202,Service Desk,1,10924.612430770396
Creation,203,Regular Customers Source,0,10783.0
Production started,203,Cash 3,0,10783.0
Production complete,203,Cash 3,0,10932.810090501425
Creation,204,Regular Customers Source,0,10279.0
Production started,204,Cash 1,0,10816.452492192464
Production complete,204,Cash 1,0,11014.980232993517
Creation,205,Service Customers Source,1,10901.0
Production started,205,Service Desk,1,10924.612430770396
Production complete,205,Service Desk,1,11075.585430892277
Creation,206,Regular Customers Source,0,10496.0
Production started,206,Cash 2,0,10921.414369572787
Production complete,206,Cash 2,0,11133.520444572976
Creation,207,Regular Customers Source,0,10555.0
Production started,207,Cash 1,0,11014.980232993517
Production complete,207,Cash 1,0,11158.07735688315
Creation,208,Regular Customers Source,0,10621.0
